Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
1,01-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,300,NA
1,03-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,158,NA
1,05-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,23,192,NA
1,06-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,203,NA
1,07-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,20,252,NA
1,08-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,228,NA
1,10-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,41,349,NA
1,11-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,256,NA
1,12-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,287,NA
1,13-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,224,NA
1,15-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,320,NA
1,17-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,20,229,NA
1,18-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,18,218,NA
1,19-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,226,NA
1,20-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,18,224,NA
1,21-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,12,216,NA
1,22-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,181,NA
1,24-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,139,NA
1,25-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,21,136,NA
1,27-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,196,NA
1,28-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,203,NA
1,29-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,221,NA
1,31-01-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,23,NA,NA
1,01-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,182,NA
1,02-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,174,NA
1,03-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,172,NA
1,04-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,20,133,NA
1,05-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,30,216,NA
1,07-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,29,195,NA
1,08-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,27,183,NA
1,09-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,34,191,NA
1,10-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,26,167,NA
1,11-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,184,NA
1,12-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,13,210,NA
1,14-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,21,162,NA
1,15-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,240,NA
1,16-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,18,190,NA
1,18-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,206,NA
1,19-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,209,NA
1,21-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,16,156,NA
1,22-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,47,144,NA
1,23-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,185,NA
1,24-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,151,NA
1,25-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,16,171,NA
1,26-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,15,179,NA
1,28-02-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,64,118,NA
1,01-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,32,NA
1,02-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,32,NA
1,03-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,37,111,NA
1,05-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,58,NA,NA
1,07-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,42,92,NA
1,08-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,64,NA
1,09-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,4.5,156,NA
1,10-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,144,NA
1,11-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,20,161,NA
1,12-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,8,33,156,NA
1,14-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,44,NA
1,15-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,7,9,18,NA
1,16-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,77,NA
1,17-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,108,NA
1,18-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,87,NA
1,19-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,22,150,NA
1,21-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,128,NA
1,22-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,139,NA
1,23-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,24,126,NA
1,24-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,151,NA
1,25-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,135,NA
1,26-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,20,182,NA
1,28-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,150,NA
1,29-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,132,NA
1,30-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,54,NA
1,31-03-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,98,NA
1,01-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,146,NA
1,04-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,58,NA
1,05-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,27,123,NA
1,06-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,111,NA
1,07-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,124,NA
1,08-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,19,159,NA
1,09-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,136,NA
1,11-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,142,NA
1,12-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,62,NA
1,13-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,76,NA
1,15-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,55,NA
1,16-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,101,NA
1,18-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,25,202,NA
1,19-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,19,270,NA
1,20-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,246,NA
1,21-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,17,307,NA
1,22-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,228,NA
1,23-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,18,251,NA
1,25-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,186,NA
1,26-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,115,NA
1,27-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,126,NA
1,28-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,104,NA
1,29-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,144,NA
1,30-04-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,212,NA
1,02-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,176,NA
1,03-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,183,NA
1,05-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,24,266,NA
1,06-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,21,165,NA
1,07-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,239,NA
1,09-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,184,NA
1,10-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,160,NA
1,11-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,4.5,180,NA
1,12-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,141,NA
1,13-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,93,NA
1,14-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,90,NA
1,16-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,72,NA
1,17-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,131,NA
1,18-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,124,NA
1,19-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,112,NA
1,20-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,18,102,NA
1,21-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,167,NA
1,23-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,349,NA
1,24-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,216,NA
1,25-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,316,NA
1,26-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,5,13,201,NA
1,27-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,33,242,NA
1,28-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,501,NA
1,30-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,10,295,NA
1,31-05-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,494,NA
1,01-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,220,NA
1,02-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,171,NA
1,03-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,6,4.5,106,NA
1,04-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,112,NA
1,06-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,146,NA
1,07-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,127,NA
1,08-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,222,NA
1,09-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,9,169,NA
1,10-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,4.5,129,NA
1,11-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,12,98,NA
1,13-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,130,NA
1,14-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,81,NA
1,15-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,121,NA
1,16-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,12,122,NA
1,17-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,162,NA
1,18-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,110,NA
1,20-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,151,NA
1,21-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,107,NA
1,22-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,111,NA
1,23-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,110,NA
1,24-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,16,67,NA
1,25-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,60,NA
1,27-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,4.5,109,NA
1,28-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,123,NA
1,29-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,30,NA
1,30-06-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,29,NA
1,01-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,40,50,NA
1,02-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,88,NA
1,04-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,4.5,203,NA
1,05-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,166,NA
1,06-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,38,NA
1,07-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,39,NA
1,08-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,83,NA
1,09-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,34,NA
1,11-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,22,NA
1,12-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,26,NA
1,13-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,88,NA
1,14-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,51,NA
1,15-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,132,NA
1,16-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,90,NA
1,19-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,62,NA
1,20-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,29,NA
1,21-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,45,NA
1,22-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,49,NA
1,23-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,47,NA
1,25-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,23,NA
1,26-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,29,NA
1,27-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,32,NA
1,28-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,38,NA
1,29-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,22,NA
1,30-07-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,4.5,35,NA
1,01-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,48,NA
1,02-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,46,NA
1,03-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,60,NA
1,04-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,65,NA
1,05-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,42,NA
1,06-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,21,38,NA
1,09-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,38,NA
1,10-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,10,37,NA
1,11-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,38,NA
1,12-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,36,NA
1,13-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,4,11,68,NA
1,16-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,28,NA
1,17-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,41,NA
1,18-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,34,NA
1,19-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,45,NA
1,20-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,41,NA
1,22-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,50,NA
1,23-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,53,NA
1,24-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,42,NA
1,25-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,67,NA
1,26-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,65,NA
1,27-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,98,NA
1,29-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,102,NA
1,30-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,88,NA
1,31-08-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,87,NA
1,01-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,139,NA
1,02-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,174,NA
1,03-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,169,NA
1,05-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,15,199,NA
1,06-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,163,NA
1,07-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,10,115,NA
1,09-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,112,NA
1,10-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,154,NA
1,12-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,77,NA
1,13-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,87,NA
1,14-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,118,NA
1,15-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,NA,NA
1,16-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,99,NA
1,17-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,42,NA
1,19-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,14,72,NA
1,20-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,72,NA
1,21-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,43,NA
1,22-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,4.5,NA,NA
1,23-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,9,65,NA
1,24-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,13,169,NA
1,26-09-15,Uttar Pradesh,Agra,"Taj Mahal, Agra",Central Pollution Control Board,Sensitive Area,2,11,171,NA
